DATE,DEXBZUS
1998-02-27,1.12962000000000000000
1998-03-06,1.13080000000000000000
1998-03-13,1.13236000000000000000
1998-03-20,1.13390000000000000000
1998-03-27,1.13550000000000000000
1998-04-03,1.13704000000000000000
1998-04-10,1.13906000000000000000
1998-04-17,1.14038000000000000000
1998-04-24,1.14238000000000000000
1998-05-01,1.14444000000000000000
1998-05-08,1.14468000000000000000
1998-05-15,1.14656000000000000000
1998-05-22,1.14916000000000000000
1998-05-29,1.15105000000000000000
1998-06-05,1.15190000000000000000
1998-06-12,1.15402000000000000000
1998-06-19,1.15500000000000000000
1998-06-26,1.15560000000000000000
1998-07-03,1.15664000000000000000
1998-07-10,1.15986000000000000000
1998-07-17,1.16208000000000000000
1998-07-24,1.16290000000000000000
1998-07-31,1.16340000000000000000
1998-08-07,1.16658000000000000000
1998-08-14,1.17042000000000000000
1998-08-21,1.17394000000000000000
1998-08-28,1.17466000000000000000
1998-09-04,1.17746000000000000000
1998-09-11,1.17772500000000000000
1998-09-18,1.17980000000000000000
1998-09-25,1.18330000000000000000
1998-10-02,1.18450000000000000000
1998-10-09,1.18590000000000000000
1998-10-16,1.18820000000000000000
1998-10-23,1.19000000000000000000
1998-10-30,1.19334000000000000000
1998-11-06,1.19042000000000000000
1998-11-13,1.19067500000000000000
1998-11-20,1.19200000000000000000
1998-11-27,1.19857500000000000000
1998-12-04,1.2018400000000000
1998-12-11,1.2032800000000000
1998-12-18,1.2053600000000000
1998-12-25,1.20780000000000000000
1999-01-01,1.20817500000000000000
1999-01-08,1.2090800000000000
1999-01-15,1.3083400000000000
1999-01-22,1.6475000000000000
1999-01-29,1.9100000000000000
1999-02-05,1.8510000000000000
1999-02-12,1.9020000000000000
1999-02-19,1.9225000000000000
1999-02-26,2.0280000000000000
1999-03-05,2.1060000000000000
1999-03-12,1.9140000000000000
1999-03-19,1.8710000000000000
1999-03-26,1.8290000000000000
1999-04-02,1.7390000000000000
1999-04-09,1.7260000000000000
1999-04-16,1.6780000000000000
1999-04-23,1.7064000000000000
1999-04-30,1.6875200000000000
1999-05-07,1.6756000000000000
1999-05-14,1.6550000000000000
1999-05-21,1.6829000000000000
1999-05-28,1.7276000000000000
1999-06-04,1.7466250000000000
1999-06-11,1.7561000000000000
1999-06-18,1.7694000000000000
1999-06-25,1.7859000000000000
1999-07-02,1.7724000000000000
1999-07-09,1.7882500000000000
1999-07-16,1.8198000000000000
1999-07-23,1.8107000000000000
1999-07-30,1.8019000000000000
1999-08-06,1.8330000000000000
1999-08-13,1.8649000000000000
1999-08-20,1.9153000000000000
1999-08-27,1.9101000000000000
1999-09-03,1.9234000000000000
1999-09-10,1.8830000000000000
1999-09-17,1.8870000000000000
1999-09-24,1.8917000000000000
1999-10-01,1.9252000000000000
1999-10-08,1.9476000000000000
1999-10-15,1.9657500000000000
1999-10-22,1.9918000000000000
1999-10-29,1.9786000000000000
1999-11-05,1.9324000000000000
1999-11-12,1.9330000000000000
1999-11-19,1.9332000000000000
1999-11-26,1.9307500000000000
1999-12-03,1.9072000000000000
1999-12-10,1.8648000000000000
1999-12-17,1.8396000000000000
1999-12-24,1.8246000000000000
1999-12-31,1.8160000000000000
2000-01-07,1.8345000000000000
2000-01-14,1.8191000000000000
2000-01-21,1.7864250000000000
2000-01-28,1.7798000000000000
2000-02-04,1.7860000000000000
2000-02-11,1.7684000000000000
2000-02-18,1.7762000000000000
2000-02-25,1.7827500000000000
2000-03-03,1.7640000000000000
2000-03-10,1.7442000000000000
2000-03-17,1.7400400000000000
2000-03-24,1.7323000000000000
2000-03-31,1.7440000000000000
2000-04-07,1.7466000000000000
2000-04-14,1.7567000000000000
2000-04-21,1.7762000000000000
2000-04-28,1.7990000000000000
2000-05-05,1.8099000000000000
2000-05-12,1.8161000000000000
2000-05-19,1.8350000000000000
2000-05-26,1.8492000000000000
2000-06-02,1.8218750000000000
2000-06-09,1.7985000000000000
2000-06-16,1.8099000000000000
2000-06-23,1.8110000000000000
2000-06-30,1.8184000000000000
2000-07-07,1.8027500000000000
2000-07-14,1.8050000000000000
