DATE,DEXVZUS
2019-12-03,37512.1453
2019-12-04,38359.6095
2019-12-05,39847.7317
2019-12-06,41571.0831
2019-12-09,41982.4588
2019-12-10,43542.0333
2019-12-11,44498.9375
2019-12-12,46019.1032
2019-12-13,46175.8911
2019-12-16,46188.5008
2019-12-17,46250.6635
2019-12-18,46828.9004
2019-12-19,47823.0011
2019-12-20,47049.5708
2019-12-23,46560.5038
2019-12-24,45439.3297
2019-12-25,.
2019-12-26,45439.3281
2019-12-27,45144.2341
2019-12-30,45760.1186
2019-12-31,46504.2785
2020-01-01,.
2020-01-02,46504.2773
2020-01-03,48587.5894
2020-01-06,54305.8215
2020-01-07,54305.8203
2020-01-08,56599.2373
2020-01-09,60837.9906
2020-01-10,62143.2901
2020-01-13,67045.9548
2020-01-14,67645.2089
2020-01-15,70499.0547
2020-01-16,71030.2189
2020-01-17,72047.7694
2020-01-20,.
2020-01-21,73954.125
2020-01-22,73246.9044
2020-01-23,73516.8289
2020-01-24,74057.9871
2020-01-27,74487.13
2020-01-28,74258.045
2020-01-29,74540.3681
2020-01-30,74540.3672
2020-01-31,74802.3994
2020-02-03,73841.546
2020-02-04,72759.4737
2020-02-05,73157.8361
2020-02-06,73423.3459
2020-02-07,73428.45
2020-02-10,73246.9752
2020-02-11,72865.867
2020-02-12,72989.5656
2020-02-13,73303.2672
2020-02-14,73398.9786
2020-02-17,.
2020-02-18,73287.3036
2020-02-19,73587.8948
2020-02-20,73575.4435
2020-02-21,73602.5947
2020-02-24,73167.6555
2020-02-25,73667.6445
2020-02-26,73667.6445
2020-02-27,73419.1144
2020-02-28,73468.044
2020-03-02,73907.3433
2020-03-03,73802.4779
2020-03-04,73644.4602
2020-03-05,73469.1443
2020-03-06,73010.3233
2020-03-09,73041.0887
2020-03-10,73072.624
2020-03-11,73151.4935
2020-03-12,73465.4328
2020-03-13,73504.5108
2020-03-16,73504.5078
2020-03-17,73961.1179
2020-03-18,73822.954
2020-03-19,72079.4178
2020-03-20,72079.4141
2020-03-23,70541.7871
2020-03-24,69721.604
2020-03-25,70677.7519
2020-03-26,71030.5069
2020-03-27,73645.5884
2020-03-30,77698.7269
2020-03-31,80069.4225
2020-04-01,80743.3602
2020-04-02,83167.2797
2020-04-03,84481.5878
2020-04-06,86441.2342
2020-04-07,91602.4809
2020-04-08,96390.8513
2020-04-09,100727.6793
2020-04-10,100727.6797
2020-04-13,100727.6797
2020-04-14,105641.9275
2020-04-15,113549.3843
2020-04-16,120558.2583
